epsilon,num_ensemble,query_budget,alpha,p,ppl
2,16,1024,9,0.0625,40.47
4,16,1024,5,0.0625,39.38
6,16,1024,4,0.0625,35.76
8,16,1024,3,0.0625,34.13
10,16,1024,3,0.0625,33.88
8,16,512,3,0.0625,33.76
8,16,1024,3,0.0625,34.13
8,16,2048,3,0.0625,34.50
8,16,4096,3,0.0625,34.91
8,8,1024,3,0.125,35.18
8,16,1024,3,0.0625,34.13
8,32,1024,3,0.0625,34.74
8,64,1024,3,0.0625,36.97
8,16,1024,3,0.0625,34.13
8,16,1024,4,0.0625,35.48
8,16,1024,5,0.0625,38.86
8,16,1024,6,0.0625,39.67
8,16,1024,7,0.0625,39.71
8,16,1024,3,0.0625,34.13
8,16,1024,3,0.125,34.92
8,16,1024,3,0.25,35.88
8,16,1024,3,0.5,37.26
